FLSAF4818010,AF 4818-PbF Soldering Flux (10L HDPE drum),soldering flux AF 4818-PbF 10L HDPE drum
FLSAF4818001,AF 4818-PbF Soldering Flux (1L HDPE bottle),soldering flux AF 4818-PbF 1L HDPE bottle
RP920SC,De-oxidising gel IF 920 (10cc syringe),deoxidation gel IF 920 10cc syringe
RP930SOLO10,De-Oxidising gel IF 930 (10cc syringe All in One),deoxidation gel IF 930 10cc syringe all-in-one
RP930SC,De-Oxidising gel IF 930 (10cc syringe),deoxidation gel IF 930 10cc syringe
RP930SOLO30,De-Oxidising gel IF 930 (30cc syringe All in One),deoxidation gel IF 930 30cc syringe all-in-one
RP930SD,De-Oxidising gel IF 930 (30cc syringe),deoxidation gel IF 930 30cc syringe
SWAQ401825SAC3150,"Aquasol 4018 Sn96,5Ag3Cu0,5  1,5mm (2,5%) Solderwire (500g spool)","solder wire Aquasol 4018 Sn96,5Ag3Cu0,5 1,5mm 2,5% 500g spool"
SP5503RAC3T4,"Delphine 5503 Sn96,5Ag3Cu0,5 - type 4 - 88% - Solderpaste (500g jar)","solder paste Delphine 5503 Sn96,5Ag3Cu0,5 88% 500g jar"
SDP7030,"µ- dIFe 7 Sn96,5Ag3Cu0,5 - type 5 - Dip Paste (30cc syr all in one)","dip paste µ-dIFe 7 Sn96,5Ag3Cu0,5 30cc syringe all-in-one"
SDP7005,"µ- dIFe 7 Sn96,5Ag3Cu0,5 - type 5 - Dip Paste (5cc syr all in one)","dip paste µ-dIFe 7 Sn96,5Ag3Cu0,5 5cc syringe all-in-one"
SP5503RAC3,"Delphine 5503 Sn96,5Ag3Cu0,5 type 3 -88% Solderpaste (500g jar)","solder paste Delphine 5503 Sn96,5Ag3Cu0,5 88% 500g jar"
SP5503SCAC3,"Delphine 5503 Sn96,5Ag3Cu0,5 -type3- 84% - Solderpaste (10cc syringe)","solder paste Delphine 5503 Sn96,5Ag3Cu0,5 84% 10cc syringe"
SP5504SN5/91,"Delphine 5504 Sn5Pb92,5Ag2,5 - type 3 - 91% Solderpaste (500g jar)","solder paste Delphine 5504 Sn5Pb92,5Ag2,5 91% 500g jar"
SP5504QAC3,"Delphine 5504 Sn96,5Ag3Cu0,5 - type 3 - 88% - Solderpaste (250g jars)","solder paste Delphine 5504 Sn96,5Ag3Cu0,5 88% 250g jar"
SP5504RAC3,"Delphine 5504 Sn96,5Ag3Cu0,5 - type 3 - 88% - Solderpaste (500g jar)","solder paste Delphine 5504 Sn96,5Ag3Cu0,5 88% 500g jar"
SP5505ATJ,DP 5505 AT Sn62Pb36Ag2 - type 3 - 90% Solderpaste (250g jar),solder paste DP 5505 Sn62Pb36Ag2 90% 250g jar
SP5505ATK,DP 5505 AT Sn62Pb36Ag2 - type 3 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn62Pb36Ag2 90% 500g jar
SP5505J,DP 5505 Sn62Pb36Ag2 - type 3 - 90% Solderpaste (250g jar),solder paste DP 5505 Sn62Pb36Ag2 90% 250g jar
SWAQ401825SN63150,"Aquasol 4018 Sn63Pb37 1,5mm (2,5%) solderwire (500g spool)","solder wire Aquasol 4018 Sn63Pb37 1,5mm 2,5% 500g spool"
SP5505ATKT4,DP 5505 AT Sn62Pb36Ag2 - type 4 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn62Pb36Ag2 90% 500g jar
SP5505AT0.4K,"DP 5505 Sn62,8Pb36,8Ag0,4 - type 3 - 90% Solderpaste (500g jar)","solder paste DP 5505 Sn62,8Pb36,8Ag0,4 90% 500g jar"
SP5505SC,DP 5505 Sn62Pb36Ag2 - type 3 - 87% Solderpaste (10cc syringe),solder paste DP 5505 Sn62Pb36Ag2 87% 10cc syringe
SP5505K,DP 5505 Sn62Pb36Ag2 - type 3 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn62Pb36Ag2 90% 500g jar
SP5505SCT4,DP 5505 Sn62Pb36Ag2 - type 4 - 87% Solderpaste (10 cc syringe),solder paste DP 5505 Sn62Pb36Ag2 87% 10cc syringe
SWBR135SAC300K04,"Bright1 (3,5%) Sn95,5Ag3,8Cu0,7 3,0mm Solderwire (3,5kg green spool)","solder wire Bright 1 Sn95,5Ag3,8Cu0,7 3,0mm 3,5% 3,5kg green spool"
SP5505NA+,"DP 5505 Sn95,8Ag4,2 - type 3 - 88,5% - Solderpaste (500g jar)","solder paste DP 5505 Sn95,8Ag4,2 88,5% 500g jar"
SP5505SBAC3/85,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 85% Solderpaste (5cc syringe)","solder paste DP 5505 Sn96,5Ag3Cu0,5 85% 5cc syringe"
SP5505PAC3S2,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 88,5% Solderpaste (1,2kg cartridge)","solder paste DP 5505 Sn96,5Ag3Cu0,5 88,5% 1,2kg cartridge"
SP5505PAC3S,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 88,5% Solderpaste (1kg cartridge)","solder paste DP 5505 Sn96,5Ag3Cu0,5 88,5% 1kg cartridge"
SP5505MAC3,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 88,5% Solderpaste (250g jar)","solder paste DP 5505 Sn96,5Ag3Cu0,5 88,5% 250g jar"
SP5505NAC3,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 88,5% Solderpaste (500g jar)","solder paste DP 5505 Sn96,5Ag3Cu0,5 88,5% 500g jar"
SP5505SCAC3T4/85FI,"DP 5505 Sn96,5Ag3Cu0,5 - type 4 - 85% Solderpaste (10cc Poly-syringe)","solder paste DP 5505 Sn96,5Ag3Cu0,5 85% 10cc Poly-syringe"
SP5505SCAC3T4/85,"DP 5505 Sn96,5Ag3Cu0,5 - type 4 - 85% Solderpaste (10cc syringe)","solder paste DP 5505 Sn96,5Ag3Cu0,5 85% 10cc syringe"
SP5505PAC3ST4,"DP 5505 Sn96,5Ag3Cu0,5 - type 4 - 88,5% Solderpaste (1kg cart)","solder paste DP 5505 Sn96,5Ag3Cu0,5 88,5% 1kg cartridge"
SP5505MAC3T4,"DP 5505 Sn96,5Ag3Cu0,5 - type 4 - 88,5% Solderpaste (250g jar)","solder paste DP 5505 Sn96,5Ag3Cu0,5 88,5% 250g jar"
SP5505NAC3T4,"DP 5505 Sn96,5Ag3Cu0,5 - type 4 - 88,5% Solderpaste (500g jar)","solder paste DP 5505 Sn96,5Ag3Cu0,5 88,5% 500g jar"
SP5505SCAC3T5/85,"DP 5505 Sn96,5Ag3Cu0,5 - type 5 - 85% Solderpaste (10cc syringe)","solder paste DP 5505 Sn96,5Ag3Cu0,5 85% 10cc syringe"
SP5505NAC3T5,"DP 5505 Sn96,5Ag3Cu0,5 - type 5 - 88,5% Solderpaste (500g jar)","solder paste DP 5505 Sn96,5Ag3Cu0,5 88,5% 500g jar"
SP5505OCAC3T4/85,"DP 5505 Sn96,5Ag3Cu0,5-type4-85% Solderpaste - Optimum-spuit 10cc","solder paste DP 5505 Sn96,5Ag3Cu0,5 85% 10cc Optimum syringe"
SP5505NA.3C.7,"DP 5505 Sn99Ag0,3Cu0,7 - type 3 - 88,5% Solderpaste (500g jar)","solder paste DP 5505 Sn99Ag0,3Cu0,7 88,5% 500g jar"
SP5505ICED.5N,"DP 5505IC ed.5 Sn62Pb36Ag2 - type 3 - 89,5% Solderpaste (500g jar)","solder paste DP 5505 Sn62Pb36Ag2 89,5% 500g jar"
SP5505ICED.5SCAC3/,"DP 5505IC ed.5 Sn96,5Ag3Cu0,5 - type 3 - 85% -Solderpaste (10cc syr)","solder paste DP 5505 Sn96,5Ag3Cu0,5 85% 10cc syringe"
SP5505SDT4,DP 5505 Sn62Pb36Ag2 - type 4 - 87% Solderpaste (30cc syringe),solder paste DP 5505 Sn62Pb36Ag2 87% 30cc syringe
SP5505KT4,DP 5505 Sn62Pb36Ag2 - type 4 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn62Pb36Ag2 90% 500g jar
SP5505IDT4,DP 5505 Sn62Pb36Ag2 - type 4-87% Solderpaste (30cc Iwashita syringe),solder paste DP 5505 Sn62Pb36Ag2 87% 30cc Iwashita syringe
SP5505KT5,DP 5505 Sn62Pb36Ag2 - type 5 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn62Pb36Ag2 90% 500g jar
SP5505U,DP 5505 Sn63Pb37 - type 3 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn63Pb37 90% 500g jar
SP5505SCAC4T5,"DP 5505 Sn95,5Ag4Cu0,5 - type 5 - 85% Solderpaste (10cc syringe)","solder paste DP 5505 Sn95,5Ag4Cu0,5 85% 10cc syringe"
SP5505MAC4T5,"DP 5505 Sn95,5Ag4Cu0,5 - type 5 - 88,5% Solderpaste (250g jar)","solder paste DP 5505 Sn95,5Ag4Cu0,5 88,5% 250g jar"
SP5505SCAC3/85,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 85% - Solderpaste (10cc syringe)","solder paste DP 5505 Sn96,5Ag3Cu0,5 85% 10cc syringe"
FLS5821010.,FL 5821 Soldering Flux (10L HDPE drum),soldering flux FL 5821 10L HDPE drum
FLS5821001,FL 5821 Soldering Flux (1L HDPE bottle),soldering flux FL 5821 1L HDPE bottle
FLS5821025.,FL 5821 Soldering Flux (25L HDPE drum),soldering flux FL 5821 25L HDPE drum
SP5505ICED.5NA.3C.,"DP 5505IC ed.5 Sn99Ag0,3Cu0,7 - type 3 - 88,5% Solderpaste (500g jar)","solder paste DP 5505 Sn99Ag0,3Cu0,7 88,5% 500g jar"
SP5600SDBI57A/87,DP 5600 Sn42Bi57Ag1 - type 3 - 87% Solderpaste (30cc syringe),solder paste DP 5600 Sn42Bi57Ag1 87% 30cc syringe
SP5600SBBI57A/87,DP 5600 Sn42Bi57Ag1 - type 3 - 87% Solderpaste (5cc syringe),solder paste DP 5600 Sn42Bi57Ag1 87% 5cc syringe
SP5600SRDBI57A/87,DP5600 Sn42Bi57Ag1 - type 3 - 87% - Solderpaste(30cc syr+red plunger),solder paste DP 5600 Sn42Bi57Ag1 87% 30cc syringe with red plunger
SP5600OCCBI57AT4/8,DP5600 Sn42Bi57Ag1-type4-87% Solderpaste-10cc Optimum syr clear wiper,solder paste DP 5600 Sn42Bi57Ag1 87% 10cc Optimum syringe with clear wiper
SWF35SAC3050,"Flexsol 903 Sn96,5Ag3Cu0,5  0.5mm (3,5%) Solderwire","solder wire Flexsol 903 Sn96,5Ag3Cu0,5 0,5mm 3,5% 500g spool"
SWF22SAC3100,"Flexsol 903 Sn96,5Ag3Cu0,5  1.0mm (2,2%) Solderwire","solder wire Flexsol 903 Sn96,5Ag3Cu0,5 1,0mm 2,2% 500g spool"
SWF35SAC3100,"Flexsol 903 Sn96,5Ag3Cu0,5  1.0mm (3,5%) Solderwire","solder wire Flexsol 903 Sn96,5Ag3Cu0,5 1,0mm 3,5% 500g spool"
SP5505ICED5SCAC3T4,"DP 5505IC ed.5 Sn96,5Ag3Cu0,5 - type 4 - 85% -Solderpaste (10cc syr)","solder paste DP 5505 Sn96,5Ag3Cu0,5 85% 10cc syringe"
SP5505ICED.5NAC3T4,"DP 5505IC ed.5 Sn96,5Ag3Cu0,5 - type 4 - 88,5% Solderpaste (500g jar)","solder paste DP 5505 Sn96,5Ag3Cu0,5 88,5% 500g jar"
SP5600SCBI57A/87,DP 5600 Sn42Bi57Ag1 - type 3 - 87% Solderpaste (10cc syringe),solder paste DP 5600 Sn42Bi57Ag1 87% 10cc syringe
SWF35SAC3035,"Flexsol 903 Sn96,5Ag3Cu0,5  0.35mm (3,5%) Solderwire-100g spool","solder wire Flexsol 903 Sn96,5Ag3Cu0,5 0,35mm 3,5% 100g spool"
SWF22SAC3050,"Flexsol 903 Sn96,5Ag3Cu0,5  0.5mm (2,2%) Solderwire","solder wire Flexsol 903 Sn96,5Ag3Cu0,5 0,5mm 2,2% 500g spool"
SP5600JBI57A,DP 5600 Sn42Bi57Ag1 - type 3 - 90% Solderpaste (250g jar),solder paste DP 5600 Sn42Bi57Ag1 90% 250g jar
SP5600KBIA,DP 5600 Sn42Bi57Ag1 - type 3 - 90% Solderpaste (500g jar),solder paste DP 5600 Sn42Bi57Ag1 90% 500g jar
SP5600SCBI57AT4/87,DP 5600 Sn42Bi57Ag1 - type 4 - 87% Solderpaste (10cc syringe),solder paste DP 5600 Sn42Bi57Ag1 87% 10cc syringe
SP5600KBI57AT4,DP 5600 Sn42Bi57Ag1 - type 4 - 90% Solderpaste (500g jar),solder paste DP 5600 Sn42Bi57Ag1 90% 500g jar
SP5600NLMPA-Q,"DP5600 LMPA-Q - type 3 - 89,5% Solderpaste (500g jar)","solder paste DP 5600 LMPA 89,5% 500g jar"
SP5600NLMPA-QT4,"DP5600 LMPA-Q - type 4 - 89,5% Solderpaste (500g jar)","solder paste DP 5600 LMPA 89,5% 500g jar"
SWF22SAC3035,"Flexsol 903 Sn96,5Ag3Cu0,5  0.35mm (2,2%) Solderwire-100g spool","solder wire Flexsol 903 Sn96,5Ag3Cu0,5 0,35mm 2,2% 100g spool"
SWF22SAC3070,"Flexsol 903 Sn96,5Ag3Cu0,5  0.7mm (2,2%) Solderwire","solder wire Flexsol 903 Sn96,5Ag3Cu0,5 0,7mm 2,2% 500g spool"
SWF35SAC3070,"Flexsol 903 Sn96,5Ag3Cu0,5  0.7mm (3,5%) Solderwire","solder wire Flexsol 903 Sn96,5Ag3Cu0,5 0,7mm 3,5% 500g spool"
RPPENN,Fluxpen Non refillable (Empty),fluxpen Fluxpen non-refillable fluxpen
RPPEN2005CN,Fluxpen Non Refillable (IF 2005C filled),fluxpen Fluxpen non-refillable fluxpen
RPPEN2005N,Fluxpen Non Refillable (IF 2005M filled),fluxpen Fluxpen non-refillable fluxpen
RPPEN6000N,Fluxpen Non Refillable (IF 6000 filled),fluxpen Fluxpen non-refillable fluxpen
RPPEN8001N,Fluxpen Non Refillable (IF 8001 filled),fluxpen Fluxpen non-refillable fluxpen
RPPENRA2505N,Fluxpen Non Refillable (RA 25050 filled),fluxpen Fluxpen non-refillable fluxpen
RPPENR,Fluxpen Refillable (Empty),fluxpen Fluxpen refillable fluxpen
RPPEN6000R,Fluxpen Refillable (IF 6000 filled),fluxpen Fluxpen refillable fluxpen
RPPEN8001R,Fluxpen Refillable (IF 8001 filled),fluxpen Fluxpen refillable fluxpen
RPPENLMPASR,Fluxpen Refillable (LMPA™-S filled),fluxpen Fluxpen refillable fluxpen
RPPEN65R,Fluxpen Refillable (TerrIFic RP65 filled),fluxpen Fluxpen refillable fluxpen
PRASTONE300,Fluxstone 300mm c/w fittings,flux stones Fluxstone 300mm with fittings
PRASTONE400,Fluxstone 400mm c/w fittings,flux stones Fluxstone 400mm with fittings
FLA2005N200,"IF 2005 - 2,5% Soldering Flux (200L HDPE drum)",soldering flux IF 2005 200L HDPE drum
FLA2005N010,IF 2005 - 2.5% Soldering Flux (10L HDPE drum),soldering flux IF 2005 10L HDPE drum
FLA2005N001,IF 2005 Soldering Flux (1L HDPE bottle),soldering flux IF 2005 1L HDPE bottle
FLA2005N025,IF 2005 Soldering Flux (25L HDPE drum),soldering flux IF 2005 25L HDPE drum
FLA2005C010,IF 2005C Soldering Flux (10L HDPE drum),soldering flux IF 2005C 10L HDPE drum
SWF35SN99070,"Flexsol 903 Sn99,3Cu0,7  0.7mm (3,5%) Solderwire","solder wire Flexsol 903 Sn99,3Cu0,7 0,7mm 3,5% 500g spool"
SWF22SN99100,"Flexsol 903 Sn99,3Cu0,7  1.0mm (2,2%) Solderwire","solder wire Flexsol 903 Sn99,3Cu0,7 1,0mm 2,2% 500g spool"
SWF35SN99100,"Flexsol 903 Sn99,3Cu0,7  1.0mm (3,5%) Solderwire","solder wire Flexsol 903 Sn99,3Cu0,7 1,0mm 3,5% 500g spool"
SWF35SN99150,"Flexsol 903 Sn99,3Cu0,7  1.5mm (3,5%) Solderwire","solder wire Flexsol 903 Sn99,3Cu0,7 1,5mm 3,5% 500g spool"
